City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Kimbe,PG,2020-09-03 20:54:22,-5.55,150.14,77.47,85,29,5.23,scattered clouds
111,Sfantu Gheorghe,RO,2020-09-03 20:54:22,45.87,25.78,61.0,90,100,3.11,light rain
112,Perth,AU,2020-09-03 20:50:03,-31.93,115.83,62.01,77,90,4.7,overcast clouds
113,Brokopondo,SR,2020-09-03 20:54:22,4.75,-55.17,87.48,63,11,0.07,few clouds
114,Kieta,PG,2020-09-03 21:04:01,-6.22,155.63,81.68,72,82,4.03,broken clouds
115,Grindavik,IS,2020-09-03 21:04:01,63.84,-22.43,44.6,75,75,28.86,broken clouds
116,Metaxades,GR,2020-09-03 20:54:23,41.42,26.23,73.4,83,19,4.7,few clouds
117,Kifri,IQ,2020-09-03 20:54:23,34.7,44.97,90.88,12,0,10.8,clear sky
118,Isangel,VU,2020-09-03 21:04:02,-19.55,169.27,69.8,68,75,19.55,broken clouds
119,Elizabeth City,US,2020-09-03 21:04:02,36.29,-76.25,97.0,50,1,13.87,clear sky
120,Lompoc,US,2020-09-03 21:04:03,34.64,-120.46,68.0,72,1,17.22,clear sky
121,Makungu,TZ,2020-09-03 20:54:24,-8.73,35.28,59.9,72,1,3.49,clear sky
122,Nemuro,JP,2020-09-03 20:54:24,43.32,145.57,61.32,93,81,10.42,broken clouds
123,Caravelas,BR,2020-09-03 20:59:54,-17.71,-39.25,72.16,81,65,5.99,broken clouds
124,Yevsino,RU,2020-09-03 20:54:25,54.42,83.32,49.8,89,100,11.92,overcast clouds
125,Touros,BR,2020-09-03 20:59:49,-5.2,-35.46,78.8,74,40,13.87,scattered clouds
126,Iqaluit,CA,2020-09-03 21:04:04,63.75,-68.51,48.2,66,90,13.87,overcast clouds
127,Komsomolskiy,UZ,2020-09-03 20:50:22,40.43,71.72,66.2,55,0,11.41,clear sky
128,Hailar,CN,2020-09-03 20:54:25,49.2,119.7,53.47,76,100,21.21,light rain
129,Carnarvon,AU,2020-09-03 21:00:07,-24.87,113.63,62.6,93,0,12.75,clear sky
130,Byron Bay,AU,2020-09-03 21:04:04,-28.65,153.62,61.0,87,90,1.12,overcast clouds
131,Nikolskoye,RU,2020-09-03 21:04:04,59.7,30.79,64.0,88,75,4.47,light intensity shower rain
132,Bathsheba,BB,2020-09-03 21:04:05,13.22,-59.52,80.6,83,75,10.29,light rain
133,Sinnamary,GF,2020-09-03 21:04:05,5.38,-52.95,81.88,76,0,11.03,clear sky
134,Takoradi,GH,2020-09-03 20:54:26,4.88,-1.76,75.63,88,36,8.75,scattered clouds
135,Deputatskiy,RU,2020-09-03 21:04:05,69.3,139.9,32.16,98,2,3.74,clear sky
136,Pringsewu,ID,2020-09-03 21:04:06,-5.36,104.97,72.9,90,98,0.76,overcast clouds
137,Keningau,MY,2020-09-03 20:53:50,5.34,116.16,75.2,100,20,4.7,few clouds
138,Muzaffarabad,PK,2020-09-03 20:54:27,34.37,73.47,71.83,63,12,2.98,few clouds
139,Tarakan,ID,2020-09-03 20:54:27,3.3,117.63,78.28,85,98,7.34,heavy intensity rain
140,Carutapera,BR,2020-09-03 20:51:09,-1.2,-46.02,79.68,75,64,8.61,broken clouds
141,Allapalli,IN,2020-09-03 20:54:28,19.42,80.07,75.47,90,69,1.99,broken clouds
142,Olinda,BR,2020-09-03 21:02:11,-8.01,-34.86,78.8,69,40,11.41,scattered clouds
143,Samfya,ZM,2020-09-03 20:54:28,-11.36,29.56,68.49,52,6,9.84,clear sky
144,Sao Filipe,CV,2020-09-03 21:04:07,14.9,-24.5,79.59,82,24,11.95,light rain
145,Paso De Los Toros,UY,2020-09-03 20:54:29,-32.82,-56.52,51.8,81,90,9.17,overcast clouds
146,Whitehorse,CA,2020-09-03 20:49:59,60.72,-135.05,57.2,50,75,12.75,broken clouds
147,Cockburn Town,TC,2020-09-03 21:04:08,21.46,-71.14,83.16,80,99,17.98,overcast clouds
148,Mar Del Plata,AR,2020-09-03 21:02:11,-38.0,-57.56,57.2,58,20,13.87,few clouds
149,Camapua,BR,2020-09-03 20:54:29,-19.53,-54.04,91.98,19,48,4.54,scattered clouds
150,Talara,PE,2020-09-03 21:03:23,-4.58,-81.27,65.26,75,9,18.57,clear sky
151,Victoria,HK,2020-09-03 21:02:15,22.29,114.16,84.0,79,80,4.9,broken clouds
152,Rawson,AR,2020-09-03 21:04:08,-43.3,-65.1,56.79,37,100,16.53,overcast clouds
153,Gunjur,GM,2020-09-03 20:54:30,13.2,-16.73,77.0,94,75,3.36,broken clouds
154,Sao Felix Do Xingu,BR,2020-09-03 21:04:09,-6.64,-51.99,91.67,24,63,2.13,broken clouds
155,Aden,YE,2020-09-03 21:03:47,12.78,45.04,87.62,65,0,2.48,clear sky
156,Cabo San Lucas,MX,2020-09-03 21:04:10,22.89,-109.91,89.6,66,40,6.93,scattered clouds
157,Bozeman,US,2020-09-03 20:54:31,45.68,-111.04,84.0,21,1,5.82,clear sky
158,Lavrentiya,RU,2020-09-03 21:04:10,65.58,-171.0,40.84,79,100,7.94,overcast clouds
159,Jacareacanga,BR,2020-09-03 20:54:31,-6.22,-57.75,92.57,35,68,3.94,broken clouds
160,Nara,JP,2020-09-03 21:04:10,34.69,135.8,81.0,83,75,5.82,broken clouds
161,Banes,CU,2020-09-03 20:54:32,20.96,-75.72,91.4,55,75,16.11,broken clouds
162,Severo-Kurilsk,RU,2020-09-03 21:04:11,50.68,156.12,53.28,92,100,15.41,overcast clouds
163,Acajutla,SV,2020-09-03 20:51:43,13.59,-89.83,70.0,100,99,1.48,overcast clouds
164,Faya,SA,2020-09-03 21:04:11,18.39,42.45,73.4,28,0,8.05,clear sky
165,Neepawa,CA,2020-09-03 20:51:09,50.23,-99.47,64.4,39,20,24.16,few clouds
166,Tuktoyaktuk,CA,2020-09-03 21:04:12,69.45,-133.04,51.8,71,75,14.99,broken clouds
167,Marsa Matruh,EG,2020-09-03 21:04:12,31.35,27.25,78.8,83,40,9.17,scattered clouds
168,Thaba-Tseka,LS,2020-09-03 20:54:33,-29.52,28.61,44.87,69,0,2.3,clear sky
169,Lumphat,KH,2020-09-03 20:54:33,13.49,106.98,74.12,97,55,3.2,broken clouds
170,Pokrovsk,UA,2020-09-03 20:54:34,48.28,37.18,77.45,36,100,16.26,overcast clouds
171,Samarai,PG,2020-09-03 21:04:13,-10.62,150.67,78.06,84,84,15.37,broken clouds
172,Avera,US,2020-09-03 20:59:42,33.19,-82.53,93.2,49,1,8.05,clear sky
173,Kalabo,ZM,2020-09-03 20:54:34,-14.97,22.68,71.24,29,0,7.27,clear sky
174,Vieste,IT,2020-09-03 20:54:35,41.88,16.18,77.0,60,40,8.05,scattered clouds
175,Pevek,RU,2020-09-03 21:04:13,69.7,170.31,35.02,95,93,10.31,overcast clouds
176,Tongliao,CN,2020-09-03 20:54:35,43.61,122.27,57.0,91,100,15.08,moderate rain
177,Buritizeiro,BR,2020-09-03 20:54:35,-17.35,-44.96,78.96,25,42,5.86,scattered clouds
178,Omsukchan,RU,2020-09-03 21:04:14,62.53,155.8,41.97,67,81,3.78,broken clouds
179,Arraial Do Cabo,BR,2020-09-03 21:04:14,-22.97,-42.03,75.2,73,0,20.8,clear sky
180,Xuanhua,CN,2020-09-03 20:54:36,40.61,115.04,56.57,54,0,3.22,clear sky
181,Tazovskiy,RU,2020-09-03 20:54:36,67.47,78.7,44.08,84,87,17.4,overcast clouds
182,Lewistown,US,2020-09-03 20:49:57,40.6,-77.57,72.0,94,90,4.7,mist
183,Tateyama,JP,2020-09-03 20:54:37,34.98,139.87,81.0,90,58,10.87,light rain
184,Narsaq,GL,2020-09-03 21:04:15,60.92,-46.05,50.0,43,100,3.36,moderate rain
185,Utica,US,2020-09-03 20:54:37,43.1,-75.23,75.2,60,75,9.17,broken clouds
186,Sistranda,NO,2020-09-03 21:04:16,63.73,8.83,59.0,76,75,6.93,broken clouds
187,Newport,GB,2020-09-03 21:01:04,51.59,-3.0,62.01,81,97,1.01,overcast clouds
188,Sorong,ID,2020-09-03 21:04:16,-0.88,131.25,78.42,85,99,4.9,light rain
189,Kysyl-Syr,RU,2020-09-03 20:54:38,63.9,122.76,50.81,96,54,3.62,broken clouds
190,Hamilton,US,2020-09-03 21:04:16,39.18,-84.53,84.99,62,90,16.11,overcast clouds
191,Namibe,AO,2020-09-03 21:04:17,-15.2,12.15,63.09,74,63,2.13,broken clouds
192,Amahai,ID,2020-09-03 20:54:38,-3.33,128.92,76.57,87,80,2.3,broken clouds
193,Laguna,US,2020-09-03 21:04:17,38.42,-121.42,89.01,37,5,3.36,clear sky
194,Saskylakh,RU,2020-09-03 21:04:17,71.92,114.08,49.86,91,100,11.39,light rain
195,Pierre,US,2020-09-03 20:54:09,44.37,-100.35,75.99,28,1,13.87,clear sky
196,Rongcheng,CN,2020-09-03 20:54:39,30.63,117.85,70.11,72,51,2.39,broken clouds
197,Yashkul,RU,2020-09-03 20:54:39,46.17,45.34,74.3,38,0,10.71,clear sky
198,Peachland,CA,2020-09-03 21:00:14,49.77,-119.74,79.0,40,0,0.29,clear sky
199,Salalah,OM,2020-09-03 21:04:18,17.02,54.09,80.6,83,75,3.36,broken clouds
200,Margate,GB,2020-09-03 21:04:18,51.38,1.39,66.0,91,100,1.99,overcast clouds
201,Rio Tercero,AR,2020-09-03 20:54:40,-32.17,-64.11,61.0,49,0,1.99,clear sky
202,Kadyy,RU,2020-09-03 20:54:40,57.79,43.19,49.84,80,95,5.03,overcast clouds
203,Havre-Saint-Pierre,CA,2020-09-03 20:54:41,50.23,-63.6,60.8,77,1,17.22,clear sky
